Year,Distance,Stroke,Sex,Nationality,Athlete,Time,Rank,Event,Source,Time_sec,Nationality_full
2020,100m,Backstroke,Men,ROC,Evgeny Rylov,51.98,1,100m Backstroke,Olympic,51.98,ROC
2020,100m,Backstroke,Men,ROC,Kliment Kolesnikov,52,2,100m Backstroke,Olympic,52.0,ROC
2020,100m,Backstroke,Men,USA,Ryan Murphy,52.19,3,100m Backstroke,Olympic,52.19,United States
2020,100m,Backstroke,Men,ITA,Thomas Ceccon,52.3,4,100m Backstroke,Olympic,52.3,Italy
2020,100m,Backstroke,Men,CHN,Jiayu Xu,52.51,4,100m Backstroke,Olympic,52.51,China
2020,100m,Backstroke,Men,ESP,Hugo Gonzalez De Oliveira,52.78,4,100m Backstroke,Olympic,52.78,Spain
2020,100m,Backstroke,Men,AUS,Mitchell Larkin,52.79,4,100m Backstroke,Olympic,52.79,Australia
2020,100m,Backstroke,Men,ROU,Robert Glinta,52.95,4,100m Backstroke,Olympic,52.95,Romania
2020,100m,Breaststroke,Men,GBR,Adam Peaty,57.37,1,100m Breaststroke,Olympic,57.37,United Kingdom
2020,100m,Breaststroke,Men,NED,Arno Kamminga,58,2,100m Breaststroke,Olympic,58.0,NED
2020,100m,Breaststroke,Men,ITA,Nicolo Martinenghi,58.33,3,100m Breaststroke,Olympic,58.33,Italy
2020,100m,Breaststroke,Men,USA,Michael Andrew,58.84,4,100m Breaststroke,Olympic,58.84,United States
2020,100m,Breaststroke,Men,GBR,James Wilby,58.96,4,100m Breaststroke,Olympic,58.96,United Kingdom
2020,100m,Breaststroke,Men,CHN,Zibei Yan,58.99,4,100m Breaststroke,Olympic,58.99,China
2020,100m,Breaststroke,Men,USA,Andrew Wilson,58.99,4,100m Breaststroke,Olympic,58.99,United States
2020,100m,Breaststroke,Men,BLR,Ilya Shymanovich,59.36,4,100m Breaststroke,Olympic,59.36,Belarus
2020,100m,Butterfly,Men,USA,Caeleb Dressel,49.45,1,100m Butterfly,Olympic,49.45,United States
2020,100m,Butterfly,Men,HUN,Kristof Kristof Milak,49.68,2,100m Butterfly,Olympic,49.68,Hungary
2020,100m,Butterfly,Men,SUI,Noe Ponti,50.74,3,100m Butterfly,Olympic,50.74,SUI
2020,100m,Butterfly,Men,ROC,Andrei Minakov,50.88,4,100m Butterfly,Olympic,50.88,ROC
2020,100m,Butterfly,Men,POL,Jakub Majerski,50.92,4,100m Butterfly,Olympic,50.92,Poland
2020,100m,Butterfly,Men,AUS,Matthew Temple,50.92,4,100m Butterfly,Olympic,50.92,Australia
2020,100m,Butterfly,Men,GUA,Luis Martinez,51.09,4,100m Butterfly,Olympic,51.09,GUA
2020,100m,Butterfly,Men,BUL,Josif Miladinov,51.49,4,100m Butterfly,Olympic,51.49,BUL
2020,100m,Freestyle,Men,USA,Caeleb Dressel,47.02,1,100m Freestyle,Olympic,47.02,United States
2020,100m,Freestyle,Men,AUS,Kyle Chalmers,47.08,2,100m Freestyle,Olympic,47.08,Australia
2020,100m,Freestyle,Men,ROC,Kliment Kolesnikov,47.44,3,100m Freestyle,Olympic,47.44,ROC
2020,100m,Freestyle,Men,FRA,Maxime Grousset,47.72,4,100m Freestyle,Olympic,47.72,France
2020,100m,Freestyle,Men,KOR,Sunwoo Hwang,47.82,4,100m Freestyle,Olympic,47.82,"Korea, Republic of"
2020,100m,Freestyle,Men,ITA,Alessandro Miressi,47.86,4,100m Freestyle,Olympic,47.86,Italy
2020,100m,Freestyle,Men,ROU,David Popovici,48.04,4,100m Freestyle,Olympic,48.04,Romania
2020,100m,Freestyle,Men,HUN,Nandor Nemeth,48.1,4,100m Freestyle,Olympic,48.1,Hungary
2020,1500m,Freestyle,Men,USA,Robert Finke,14:39.65,1,1500m Freestyle,Olympic,879.65,United States
2020,1500m,Freestyle,Men,UKR,Mykhailo Romanchuk,14:40.66,2,1500m Freestyle,Olympic,880.66,Ukraine
2020,1500m,Freestyle,Men,GER,Florian Wellbrock,14:40.91,3,1500m Freestyle,Olympic,880.91,GER
2020,1500m,Freestyle,Men,ITA,Gregorio Paltrinieri,14:45.01,4,1500m Freestyle,Olympic,885.01,Italy
2020,1500m,Freestyle,Men,GBR,Daniel Jervis,14:55.48,4,1500m Freestyle,Olympic,895.48,United Kingdom
2020,1500m,Freestyle,Men,ROC,Kirill Martynychev,14:55.85,4,1500m Freestyle,Olympic,895.85,ROC
2020,1500m,Freestyle,Men,AUT,Felix Auboeck,15:03.47,4,1500m Freestyle,Olympic,903.47,Austria
2020,1500m,Freestyle,Men,UKR,Serhii Frolov,15:04.26,4,1500m Freestyle,Olympic,904.26,Ukraine
2020,200m,Backstroke,Men,ROC,Evgeny Rylov,1:53.27,1,200m Backstroke,Olympic,113.27000000000001,ROC
2020,200m,Backstroke,Men,USA,Ryan Murphy,1:54.15,2,200m Backstroke,Olympic,114.15,United States
